date,ward_id,hotspots,hotspots_48h,pm25_coverage,pm25_mean,pm25_mean_7d,pm25_slope_7d,humidity_mean,humidity_7d,humidity_trend_7d,temp_max,wind_max,precipitation_sum,days_since_rain,green_cover_pct,market_flag,income_ord,festival_window,doy_sin,doy_cos,burn_day,split_year
2023-04-11,wagholi,0,0.0,1.0,30.133333333333336,31.544642857142858,0.0017857142857141842,42,48.42857142857143,-1.8571428571428572,38.1,20.3,0.0,2,8,1,0,0,0.986146248341595,-0.16587819893463143,0,2023
2023-04-12,wagholi,0,0.0,1.0,28.558333333333334,31.86309523809524,0.3184523809523811,41,46.57142857142857,-1.8571428571428572,38.3,10.0,0.0,3,8,1,0,0,0.9831469737221499,-0.1828169249850199,0,2023
2023-04-13,wagholi,0,0.0,1.0,31.6875,31.4672619047619,-0.39583333333333315,33,45.714285714285715,-0.8571428571428571,38.5,13.3,0.0,4,8,1,0,0,0.9798567700958665,-0.1997015525660636,0,2023
2023-04-14,wagholi,0,0.0,1.0,44.9125,32.49523809523809,1.0279761904761908,37,45.285714285714285,-0.42857142857142855,36.6,18.9,0.0,5,8,1,0,0,0.9762766110869321,-0.21652708524481437,0,2023
2023-04-15,wagholi,0,0.0,1.0,49.09166666666667,34.521428571428565,2.026190476190476,42,44.42857142857143,-0.8571428571428571,36.5,17.2,0.0,6,8,1,0,0,0.9724075561219968,-0.23328854407545518,0,2023
2023-04-16,wagholi,0,0.0,1.0,43.895833333333336,35.67142857142857,1.1500000000000006,46,42.142857142857146,-2.2857142857142856,37.8,19.5,0.0,7,8,1,0,0,0.9682507501166718,-0.2499809690726521,0,2023
2023-04-17,wagholi,0,1.0,1.0,33.9375,36.43214285714286,0.7607142857142861,40,40.857142857142854,-1.2857142857142858,36.7,13.9,0.0,8,8,1,0,0,0.9638074231367307,-0.26659942067929354,1,2023
2023-04-18,wagholi,1,1.0,1.0,30.454166666666666,37.459523809523816,1.0273809523809523,36,40.142857142857146,-0.7142857142857143,38.4,14.4,0.1,9,8,1,0,0,0.9590788900341131,-0.28313898122818354,1,2023
2023-04-19,wagholi,0,0.0,1.0,28.78333333333333,37.50535714285714,0.04583333333333276,30,39.285714285714285,-0.8571428571428571,38.9,21.7,0.0,10,8,1,0,0,0.9540665500578387,-0.2995947563972602,0,2023
2023-04-20,wagholi,0,0.0,1.0,37.1875,37.5375,0.03214285714285684,33,37.714285714285715,-1.5714285714285714,37.2,20.5,0.0,11,8,1,0,0,0.9487718864399473,-0.31596187665790293,0,2023
2023-04-21,wagholi,0,0.0,1.0,23.979166666666668,38.323214285714286,0.7857142857142857,35,37.714285714285715,0.0,37.1,20.2,0.0,12,8,1,0,0,0.9431964659565866,-0.33223549871590435,0,2023
2023-04-22,wagholi,0,0.0,1.0,22.5125,35.33273809523809,-2.9904761904761905,42,37.42857142857143,-0.2857142857142857,36.0,22.1,0.0,13,8,1,0,0,0.9373419384643772,-0.3484108069446808,0,2023
2023-04-23,wagholi,0,0.0,1.0,24.15833333333333,31.535714285714285,-3.79702380952381,50,37.42857142857143,0.0,37.5,24.4,0.0,14,8,1,0,0,0.9312100364121947,-0.3644830148102912,0,2023
2023-04-24,wagholi,0,0.0,1.0,22.099999999999998,28.71607142857143,-2.8196428571428576,44,38.0,0.5714285714285714,37.6,28.0,0.0,15,8,1,0,0,0.9248025743285089,-0.38044736628785164,0,2023
2023-04-25,wagholi,0,0.0,1.0,23.21666666666667,27.025000000000002,-1.6910714285714288,46,38.57142857142857,0.5714285714285714,38.4,24.8,0.0,16,8,1,0,0,0.9181214482844364,-0.39629913726891813,0,2023
2023-04-26,wagholi,0,0.0,1.0,22.220833333333335,25.991071428571427,-1.033928571428571,56,40.0,1.4285714285714286,35.7,21.1,0.0,17,8,1,0,0,0.9111686353326631,-0.41203363695942635,0,2023
2023-04-27,wagholi,0,0.0,1.0,27.34166666666667,25.053571428571427,-0.9374999999999994,57,43.714285714285715,3.7142857142857144,35.8,17.3,0.6,18,8,1,0,0,0.9039461929224011,-0.42764620926777464,0,2023
2023-04-28,wagholi,0,0.0,1.0,35.19583333333333,23.64702380952381,-1.4065476190476187,56,47.142857142857146,3.4285714285714284,34.7,18.0,0.1,19,8,1,0,0,0.8964562582905575,-0.44313223418263453,0,2023
2023-04-29,wagholi,0,0.0,1.0,32.65416666666667,25.249404761904763,1.6023809523809522,53,50.142857142857146,3.0,35.2,20.4,0.1,20,8,1,0,0,0.8887010478292915,-0.45848712914008766,0,2023
2023-04-30,wagholi,0,0.0,1.0,28.712500000000002,26.69821428571429,1.4488095238095242,52,51.714285714285715,1.5714285714285714,35.9,28.4,0.0,21,8,1,0,0,0.8806828564301475,-0.47370635037968,0,2023
2023-05-01,wagholi,0,0.0,1.0,23.65833333333333,27.34880952380953,0.6505952380952387,53,52.0,0.2857142857142857,34.7,22.0,0.0,22,8,1,0,0,0.8724040568049612,-0.48878539428899265,0,2023
2023-05-02,wagholi,0,0.0,1.0,22.979166666666668,27.571428571428573,0.22261904761904766,54,53.285714285714285,1.2857142857142858,33.1,16.9,0.0,23,8,1,0,0,0.8638670987837349,-0.503719798736334,0,2023
2023-05-03,wagholi,0,0.0,1.0,26.041666666666668,27.537499999999998,-0.03392857142857153,57,54.42857142857143,1.1428571428571428,33.8,19.5,0.0,24,8,1,0,0,0.8550745085896932,-0.518505144391157,0,2023
2023-05-04,wagholi,0,0.0,1.0,30.404166666666665,28.083333333333336,0.5458333333333333,56,54.57142857142857,0.14285714285714285,34.9,17.7,0.0,25,8,1,0,0,0.8460288880917339,-0.533137056031809,0,2023
2023-05-05,wagholi,0,0.0,1.0,39.270833333333336,28.520833333333332,0.4374999999999995,55,54.42857142857143,-0.14285714285714285,35.4,24.1,0.0,26,8,1,0,0,0.8367329140344921,-0.5476112038402312,0,2023
2023-05-06,wagholi,0,0.0,1.0,39.36666666666667,29.10297619047619,0.5821428571428575,58,54.285714285714285,-0.14285714285714285,36.0,15.2,0.3,27,8,1,0,0,0.8271893372462497,-0.5619233046832195,0,2023
2023-05-07,wagholi,0,0.0,1.0,39.199999999999996,30.061904761904763,0.9589285714285712,62,55.0,0.7142857142857143,35.4,16.6,7.0,0,8,1,0,0,0.8174009818249189,-0.5760691233798758,0,2023
